batter,total_runs,total_innings,total_balls,total_fours,total_sixes,dismissals,highest_score,hundreds,fifties,batting_avg,strike_rate,bowler,wickets,runs_conceded,balls_bowled,bowling_avg,economy,bowling_sr,player_name
MJ Clarke,8141.0,184.0,14583.0,921.0,32.0,165.0,329.0,27.0,25.0,49.339393939393936,55.82527600630871,MJ Clarke,32.0,1216.0,2400.0,38.0,3.04,75.0,MJ Clarke
MJ Guptill,2586.0,89.0,5560.0,326.0,24.0,88.0,189.0,3.0,17.0,29.38636363636364,46.51079136690648,MJ Guptill,8.0,302.0,429.0,37.75,4.223776223776224,53.625,MJ Guptill
MJ Henry,670.0,45.0,859.0,90.0,21.0,39.0,72.0,0.0,4.0,17.17948717948718,77.9976717112922,MJ Henry,142.0,3934.0,7335.0,27.70422535211268,3.2179959100204494,51.65492957746479,MJ Henry
MJ Hoggard,263.0,48.0,1132.0,28.0,0.0,37.0,38.0,0.0,0.0,7.108108108108108,23.233215547703185,MJ Hoggard,122.0,3738.0,6775.0,30.639344262295083,3.310405904059041,55.53278688524591,MJ Hoggard
MJ Humphreys,67.0,9.0,153.0,9.0,2.0,6.0,27.0,0.0,0.0,11.166666666666666,43.790849673202615,MJ Humphreys,15.0,583.0,997.0,38.86666666666667,3.5085255767301904,66.46666666666667,MJ Humphreys
MJ Leach,498.0,58.0,1335.0,64.0,2.0,37.0,92.0,0.0,1.0,13.45945945945946,37.30337078651685,MJ Leach,145.0,4945.0,9423.0,34.10344827586207,3.14867876472461,64.98620689655172,MJ Leach
MJ Mason,3.0,2.0,33.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,9.090909090909092,MJ Mason,0.0,105.0,132.0,0.0,4.7727272727272725,0.0,MJ Mason
MJ North,1171.0,35.0,2434.0,143.0,5.0,33.0,128.0,5.0,4.0,35.484848484848484,48.1101068200493,MJ North,15.0,609.0,1261.0,40.6,2.8977002379064234,84.06666666666666,MJ North
MJ Potts,105.0,15.0,228.0,15.0,1.0,11.0,21.0,0.0,0.0,9.545454545454543,46.05263157894737,MJ Potts,36.0,1261.0,2200.0,35.02777777777778,3.4390909090909094,61.11111111111112,MJ Potts
MJ Prior,4099.0,122.0,6662.0,495.0,16.0,100.0,131.0,7.0,28.0,40.99,61.528069648754126,0,0.0,0.0,0.0,0.0,0.0,0.0,MJ Prior
MJ Santner,1085.0,44.0,2310.0,121.0,32.0,42.0,126.0,1.0,4.0,25.83333333333333,46.96969696969697,MJ Santner,82.0,2698.0,5556.0,32.90243902439025,2.913606911447084,67.7560975609756,MJ Santner
MJ Swepson,28.0,5.0,54.0,3.0,0.0,4.0,15.0,0.0,0.0,7.0,51.85185185185185,MJ Swepson,10.0,472.0,898.0,47.2,3.153674832962138,89.8,MJ Swepson
MKDI Amerasinghe,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MKDI Amerasinghe,1.0,108.0,150.0,108.0,4.32,150.0,MKDI Amerasinghe
ML Cummins,114.0,22.0,323.0,12.0,4.0,14.0,24.0,0.0,0.0,8.142857142857142,35.294117647058826,ML Cummins,28.0,1139.0,2015.0,40.67857142857143,3.391563275434243,71.96428571428571,ML Cummins
ML Hayden,4136.0,85.0,6822.0,488.0,41.0,82.0,380.0,14.0,14.0,50.4390243902439,60.627381999413664,0,0.0,0.0,0.0,0.0,0.0,0.0,ML Hayden
ML Love,133.0,7.0,324.0,10.0,0.0,5.0,62.0,0.0,1.0,26.6,41.04938271604938,0,0.0,0.0,0.0,0.0,0.0,0.0,ML Love
ML Schutt,12.0,2.0,31.0,2.0,0.0,1.0,11.0,0.0,0.0,12.0,38.70967741935484,ML Schutt,9.0,196.0,537.0,21.77777777777778,2.189944134078212,59.66666666666666,ML Schutt
MM Ali,3094.0,117.0,5998.0,375.0,34.0,108.0,155.0,5.0,15.0,28.64814814814815,51.5838612870957,MM Ali,209.0,7822.0,12623.0,37.42583732057416,3.7179751247722415,60.39712918660287,MM Ali
MM Lanning,325.0,10.0,712.0,47.0,0.0,9.0,93.0,0.0,2.0,36.11111111111112,45.646067415730336,MM Lanning,0.0,12.0,48.0,0.0,1.5,0.0,MM Lanning
MM Patel,52.0,11.0,131.0,7.0,1.0,6.0,15.0,0.0,0.0,8.666666666666666,39.69465648854962,MM Patel,33.0,1271.0,2441.0,38.51515151515152,3.124129455141336,73.96969696969697,MM Patel
MN Samuels,3021.0,92.0,6232.0,409.0,30.0,89.0,260.0,6.0,18.0,33.943820224719104,48.47560975609756,MN Samuels,39.0,1855.0,3246.0,47.56410256410256,3.428835489833641,83.23076923076923,MN Samuels
MN Waller,577.0,28.0,1138.0,68.0,1.0,26.0,72.0,0.0,4.0,22.192307692307693,50.70298769771529,MN Waller,8.0,223.0,456.0,27.875,2.9342105263157894,57.0,MN Waller
MP Bicknell,19.0,3.0,36.0,3.0,0.0,3.0,15.0,0.0,0.0,6.333333333333333,52.77777777777778,MP Bicknell,10.0,289.0,560.0,28.9,3.0964285714285715,56.0,MP Bicknell
MP Kuhnemann,18.0,6.0,67.0,2.0,0.0,4.0,6.0,0.0,0.0,4.5,26.86567164179105,MP Kuhnemann,26.0,575.0,1028.0,22.115384615384617,3.3560311284046693,39.53846153846154,MP Kuhnemann
MP Vaughan,2483.0,69.0,4982.0,338.0,6.0,66.0,183.0,7.0,9.0,37.621212121212125,49.83942191890807,MP Vaughan,1.0,176.0,269.0,150.0,3.925650557620818,200.0,MP Vaughan
MR Adair,298.0,12.0,423.0,40.0,5.0,10.0,88.0,0.0,2.0,29.8,70.44917257683215,MR Adair,17.0,643.0,1009.0,37.8235294117647,3.823587710604559,59.35294117647059,MR Adair
MR Gillespie,60.0,7.0,96.0,8.0,3.0,7.0,27.0,0.0,0.0,8.571428571428571,62.5,MR Gillespie,22.0,550.0,756.0,25.0,4.365079365079366,34.36363636363637,MR Gillespie
MR Marsh,2053.0,78.0,3634.0,268.0,32.0,71.0,181.0,3.0,9.0,28.91549295774648,56.49422124380848,MR Marsh,52.0,2060.0,3398.0,39.61538461538461,3.637433784579164,65.34615384615384,MR Marsh
MS Atapattu,336.0,12.0,874.0,39.0,1.0,12.0,80.0,0.0,2.0,28.0,38.443935926773456,0,0.0,0.0,0.0,0.0,0.0,0.0,MS Atapattu
MS Crane,6.0,2.0,11.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,54.54545454545454,MS Crane,1.0,195.0,290.0,150.0,4.0344827586206895,200.0,MS Crane
MS Dhoni,4721.0,139.0,8033.0,523.0,76.0,127.0,224.0,6.0,31.0,37.173228346456696,58.770073447031,MS Dhoni,0.0,72.0,100.0,0.0,4.32,0.0,MS Dhoni
MS Harris,607.0,26.0,1327.0,73.0,0.0,25.0,79.0,0.0,3.0,24.28,45.742275810097965,0,0.0,0.0,0.0,0.0,0.0,0.0,MS Harris
MS Kasprowicz,129.0,18.0,263.0,12.0,0.0,13.0,20.0,0.0,0.0,9.923076923076923,49.04942965779468,MS Kasprowicz,39.0,1164.0,2145.0,29.846153846153847,3.255944055944056,55.0,MS Kasprowicz
MS Panesar,217.0,63.0,726.0,23.0,1.0,42.0,26.0,0.0,0.0,5.166666666666667,29.88980716253444,MS Panesar,170.0,5941.0,12297.0,34.94705882352941,2.898755794096121,72.33529411764705,MS Panesar
MS Sinclair,459.0,21.0,1131.0,61.0,2.0,21.0,74.0,0.0,2.0,21.857142857142858,40.58355437665783,MS Sinclair,0.0,1.0,18.0,0.0,0.3333333333333333,0.0,MS Sinclair
MS Wade,1613.0,63.0,3207.0,176.0,12.0,57.0,117.0,4.0,5.0,28.29824561403509,50.29622700342999,MS Wade,0.0,28.0,32.0,0.0,5.25,0.0,MS Wade
MT Chinouya,1.0,4.0,34.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,2.941176470588235,MT Chinouya,3.0,195.0,345.0,65.0,3.391304347826087,115.0,MT Chinouya
MT Renshaw,645.0,24.0,1526.0,78.0,3.0,22.0,184.0,1.0,3.0,29.318181818181817,42.26736566186107,MT Renshaw,0.0,20.0,30.0,0.0,4.0,0.0,MT Renshaw
MV Boucher,2926.0,111.0,5924.0,332.0,11.0,101.0,117.0,1.0,19.0,28.97029702970297,49.39230249831195,MV Boucher,1.0,6.0,9.0,6.0,4.0,9.0,MV Boucher
MVT Fernando,161.0,37.0,617.0,16.0,1.0,21.0,38.0,0.0,0.0,7.666666666666667,26.094003241491087,MVT Fernando,79.0,2619.0,4304.0,33.151898734177216,3.651022304832714,54.48101265822785,MVT Fernando
Mahbubul Alam,3.0,4.0,53.0,0.0,0.0,2.0,1.0,0.0,0.0,1.5,5.660377358490567,Mahbubul Alam,4.0,209.0,372.0,52.25,3.3709677419354835,93.0,Mahbubul Alam
Mahmudul Hasan Joy,947.0,35.0,2205.0,102.0,7.0,35.0,171.0,2.0,4.0,27.057142857142857,42.94784580498866,Mahmudul Hasan Joy,0.0,14.0,13.0,0.0,6.461538461538462,0.0,Mahmudul Hasan Joy
Mahmudullah,2900.0,92.0,5439.0,339.0,24.0,88.0,150.0,5.0,16.0,32.95454545454545,53.318624747196175,Mahmudullah,42.0,1984.0,3403.0,47.23809523809524,3.4980899206582423,81.02380952380952,Mahmudullah
Manjural Islam,6.0,4.0,20.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,30.0,Manjural Islam,3.0,185.0,353.0,61.66666666666666,3.144475920679887,117.66666666666669,Manjural Islam
Marshall Ayub,125.0,6.0,292.0,13.0,1.0,6.0,41.0,0.0,0.0,20.83333333333333,42.80821917808219,Marshall Ayub,0.0,53.0,60.0,0.0,5.3,0.0,Marshall Ayub
Mashrafe Mortaza,513.0,37.0,732.0,57.0,17.0,34.0,79.0,0.0,3.0,15.088235294117649,70.08196721311475,Mashrafe Mortaza,42.0,1832.0,3253.0,43.61904761904762,3.3790347371656937,77.45238095238095,Mashrafe Mortaza
Meghna Singh,2.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,33.33333333333333,Meghna Singh,2.0,68.0,128.0,34.0,3.1875,64.0,Meghna Singh
Mehedi Hasan Miraz,2103.0,97.0,4170.0,242.0,23.0,87.0,104.0,2.0,9.0,24.17241379310345,50.431654676258994,Mehedi Hasan Miraz,212.0,6845.0,12862.0,32.2877358490566,3.1931270408956616,60.66981132075472,Mehedi Hasan Miraz
Mehrab Hossain jnr,102.0,9.0,209.0,15.0,0.0,8.0,43.0,0.0,0.0,12.75,48.803827751196174,Mehrab Hossain jnr,2.0,212.0,293.0,106.0,4.341296928327645,146.5,Mehrab Hossain jnr
Mir Hamza,51.0,13.0,183.0,3.0,2.0,8.0,16.0,0.0,0.0,6.375,27.86885245901639,Mir Hamza,14.0,661.0,1192.0,47.21428571428572,3.327181208053692,85.14285714285714,Mir Hamza
Misbah-ul-Haq,5033.0,122.0,11193.0,492.0,79.0,104.0,161.0,10.0,38.0,48.39423076923077,44.96560350218887,0,0.0,0.0,0.0,0.0,0.0,0.0,Misbah-ul-Haq
Mohammad Abbas,120.0,40.0,689.0,13.0,2.0,19.0,29.0,0.0,0.0,6.315789473684211,17.41654571843251,Mohammad Abbas,100.0,2414.0,5585.0,24.14,2.593375111906893,55.85,Mohammad Abbas
Mohammad Ali,2.0,7.0,66.0,0.0,0.0,5.0,2.0,0.0,0.0,0.4,3.0303030303030303,Mohammad Ali,6.0,420.0,633.0,70.0,3.981042654028436,105.5,Mohammad Ali
Mohammad Amir,751.0,67.0,1981.0,91.0,3.0,56.0,48.0,0.0,0.0,13.410714285714286,37.910146390711766,Mohammad Amir,121.0,3777.0,7699.0,31.21487603305785,2.943499155734511,63.62809917355372,Mohammad Amir
Mohammad Ashraful,1523.0,70.0,3127.0,181.0,11.0,70.0,190.0,3.0,3.0,21.757142857142856,48.70482890949792,Mohammad Ashraful,15.0,688.0,927.0,45.86666666666667,4.453074433656958,61.8,Mohammad Ashraful
Mohammad Asif,120.0,31.0,371.0,16.0,0.0,23.0,29.0,0.0,0.0,5.217391304347826,32.34501347708895,Mohammad Asif,95.0,2317.0,4615.0,24.389473684210525,3.0123510292524376,48.578947368421055,Mohammad Asif
Mohammad Hafeez,3321.0,96.0,5746.0,419.0,26.0,89.0,224.0,8.0,11.0,37.31460674157304,57.79672815871911,Mohammad Hafeez,52.0,1661.0,3476.0,31.942307692307693,2.867088607594937,66.84615384615384,Mohammad Hafeez
Mohammad Irfan,28.0,7.0,87.0,4.0,0.0,5.0,14.0,0.0,0.0,5.6,32.18390804597701,Mohammad Irfan,10.0,405.0,727.0,40.5,3.342503438789546,72.7,Mohammad Irfan
Mohammad Khalil,5.0,2.0,23.0,1.0,0.0,2.0,5.0,0.0,0.0,2.5,21.73913043478261,Mohammad Khalil,0.0,98.0,154.0,0.0,3.8181818181818175,0.0,Mohammad Khalil
Mohammad Mithun,333.0,18.0,753.0,32.0,3.0,18.0,67.0,0.0,2.0,18.5,44.22310756972112,0,0.0,0.0,0.0,0.0,0.0,0.0,Mohammad Mithun
Mohammad Nawaz,94.0,6.0,189.0,11.0,0.0,5.0,45.0,0.0,0.0,18.8,49.73544973544973,Mohammad Nawaz,11.0,358.0,576.0,32.54545454545455,3.729166666666667,52.36363636363637,Mohammad Nawaz
Mohammad Nawaz (3),50.0,4.0,157.0,4.0,0.0,4.0,25.0,0.0,0.0,12.5,31.84713375796178,Mohammad Nawaz (3),5.0,149.0,385.0,29.8,2.322077922077922,77.0,Mohammad Nawaz (3)
Mohammad Rafique,470.0,35.0,761.0,52.0,14.0,32.0,64.0,0.0,1.0,14.6875,61.76084099868594,Mohammad Rafique,55.0,2297.0,4433.0,41.763636363636365,3.108955560568464,80.6,Mohammad Rafique
Mohammad Rizwan,2399.0,69.0,4461.0,243.0,18.0,62.0,171.0,3.0,12.0,38.693548387096776,53.777180004483306,0,0.0,0.0,0.0,0.0,0.0,0.0,Mohammad Rizwan
Mohammad Sami,297.0,31.0,868.0,32.0,4.0,24.0,49.0,0.0,0.0,12.375,34.21658986175115,Mohammad Sami,35.0,2333.0,3600.0,66.65714285714286,3.8883333333333336,102.85714285714286,Mohammad Sami
Mohammad Shahid,57.0,6.0,81.0,10.0,1.0,5.0,25.0,0.0,0.0,11.4,70.37037037037037,Mohammad Shahid,5.0,292.0,638.0,58.4,2.7460815047021945,127.6,Mohammad Shahid
Mohammad Sharif,36.0,4.0,122.0,3.0,0.0,3.0,17.0,0.0,0.0,12.0,29.508196721311474,Mohammad Sharif,0.0,199.0,302.0,0.0,3.9536423841059607,0.0,Mohammad Sharif
Mohammad Talha,34.0,5.0,72.0,4.0,2.0,4.0,19.0,0.0,0.0,8.5,47.22222222222222,Mohammad Talha,9.0,513.0,765.0,57.0,4.023529411764706,85.0,Mohammad Talha
Mohammad Wasim,55.0,4.0,74.0,5.0,2.0,3.0,43.0,0.0,0.0,18.33333333333333,74.32432432432432,Mohammad Wasim,3.0,231.0,358.0,77.0,3.871508379888268,119.33333333333331,Mohammad Wasim
Mohammad Yousuf,2636.0,54.0,4735.0,319.0,17.0,48.0,202.0,7.0,11.0,54.91666666666666,55.67053854276664,0,0.0,0.0,0.0,0.0,0.0,0.0,Mohammad Yousuf
Mohammad Zahid,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Mohammad Zahid,2.0,109.0,153.0,54.5,4.2745098039215685,76.5,Mohammad Zahid
Mohammed Shami,750.0,86.0,1008.0,83.0,25.0,63.0,56.0,0.0,2.0,11.904761904761903,74.40476190476191,Mohammed Shami,233.0,6684.0,11586.0,28.68669527896996,3.461418953909892,49.72532188841202,Mohammed Shami
Mohammed Siraj,154.0,59.0,456.0,16.0,2.0,33.0,16.0,0.0,0.0,4.666666666666667,33.771929824561404,Mohammed Siraj,141.0,4309.0,7066.0,30.56028368794326,3.658930087744127,50.11347517730496,Mohammed Siraj
Mominul Haque,4668.0,135.0,8684.0,536.0,19.0,126.0,181.0,12.0,24.0,37.04761904761905,53.75403040073699,Mominul Haque,11.0,594.0,889.0,54.0,4.008998875140607,80.81818181818181,Mominul Haque
Mosaddek Hossain,113.0,6.0,278.0,12.0,2.0,5.0,75.0,0.0,1.0,22.6,40.647482014388494,Mosaddek Hossain,0.0,84.0,132.0,0.0,3.8181818181818175,0.0,Mosaddek Hossain
Muhammad Musa,16.0,2.0,17.0,3.0,0.0,1.0,12.0,0.0,0.0,16.0,94.11764705882352,Muhammad Musa,0.0,114.0,127.0,0.0,5.385826771653543,0.0,Muhammad Musa
Mukesh Kumar,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Mukesh Kumar,7.0,184.0,296.0,26.285714285714285,3.72972972972973,42.285714285714285,Mukesh Kumar
